id,token_id,nft_name,image_url,slug,last_sale_total_price,rarity
17750641,7184,All faces become skulls,https://lh3.googleusercontent.com/0O4h-Gd1pfJtwWvZh2wuXi6JLySslFK1vDjAnp1bcil7YREOIP1F-HQNFzfaOy3-tJAoHeHwGZNdYtEnz7Tlm5mJWmnxq2xxDJf_,hashmasks,0.949,36034.112558170804
17728201,2196,Hashmasks #2196,https://lh3.googleusercontent.com/e2vcXy-wtDue2jtFaaer5pvn8VCGIPwX3q4qsqPzvPkSxKC7eki7h5SaLHVgveNUBz4Z5xX_O-ORqLSav5zsOpfJYWU9-3coD1zukqY,hashmasks,1.55,84114.86157277426
17729281,2929,Hashmasks #2929,https://lh3.googleusercontent.com/QnBHl6VjJUSxVE65G1GPQ3YdFsnv0PrSnNvafihIzuVZUvwWjsxny7FqHE8ghHqORThMhase7jn8IzySgoQFklvmiiITJGAim7zw,hashmasks,1.5,67530.83775084394
17740801,4108,Future Fund,https://lh3.googleusercontent.com/6KmRGtXNbX7RLvbyPEuWHVz80sQwShKe780Jwjf2HN3Qai3ERl6hOfMHCylCINNFLZMA4JcKXnZJZ-h18F3k8r9q4FNx1Mv8FMpYdA,hashmasks,2.0,100072.88735718351
17751241,7415,Craig Wright,https://lh3.googleusercontent.com/RRp4nRiC-ZZ87tacVt9fbsCGKtgDlNu4IvOlwSzRwq2F6e5gUgWcJP6TcTXS7tjX5Y5TChieYpbBJlglMf_UYsYoDYsMvxL7oAzO_w,hashmasks,1.7,72298.75550731273
17769001,13237,Aztec Goddess Coatlicue,https://lh3.googleusercontent.com/EF-5tR21Gmg0whcwS1h7NYMuFOawIoN8bNEJqLi_H0GvURkWLf_cQX_3MTzCI0cv1aGybtH9j4c39nYFqL8QCFmjLDpz3d3P-Wy0,hashmasks,1.49,77798.21805730628
17757961,10346,Hashmasks #10346,https://lh3.googleusercontent.com/0fGYx9ScdHFoZwesLDiz6YXvRhgiMNMkbpZcervMsIs49SsfK4xPG8F1y-KHinlHSEGDZs_U6C0e5lPsOn1Bt7OaH0vkj_Pujw1Y,hashmasks,1.55,60130.23677313106
17728802,2556,Hashmasks #2556,https://lh3.googleusercontent.com/e9yBg_23pifCOg-XE3OKnhoFDKizTivBbSsX2fPX5MkpjK9Sx6XA4XqIoh7z-RW7ckOdksukfBl8NHlzCfiLowCf2xWke5WbYV24jw,hashmasks,0.9799,24020.852665421873
17751603,7463,Hashmasks #7463,https://lh3.googleusercontent.com/Pq_JZbmYON5TkWHcAODe-5rWLZjreyVkiMvNdPUlP-bkP7Uxtc6FDBRpc0pVHIgXL0ds0_WB_x3wjpauiB8w9WKXOY82SQAKXSd2pA,hashmasks,2.195,144741.2942532457
17728563,2368,Bluedle,https://lh3.googleusercontent.com/nTq1lHLTitI8hom3HQB72eFKUbijHFZNlXorZ-MNJoUWje_uo8jJjvYwspIQ9L0DtpwdjpZ4VIJyeAj8nzdit2aIdR89DMC_TYnyub8,hashmasks,1.311,43006.65980488331
17749324,6226,Hashmasks #6226,https://lh3.googleusercontent.com/2hKX3kJPtnh70jIeXUn6JYq0qBAws0ItZ4ySSxUKj1QQAsMFh0qD_ZeTX6B_4eRE0ZAOnimiUVUc_TqDQn0-auoD0GQ21HsT3GiZBQ,hashmasks,3.5,245524.3237831212
17743085,4547,Chico Blanco,https://lh3.googleusercontent.com/uouPr1wgmYFf7xZAK3-7OVB5gbJWn-uHi4zROPNMaITpfdwjiAdW-roHH56Wo5BOjzyLZ9Hxgi1TNNt_-P3fBMC19RnVUR2O_2uqtw,hashmasks,1.164,47436.790628722374
17749326,6227,Acedia,https://lh3.googleusercontent.com/KJtPsIE4GSbFsbI-eN-BBrur1ny40OmVCvFOZnS9jH8nY9GwBl5hPyrS672gViYeJn_fcxrt-1vtYSvCFYqJ0u98Ozs4dA6ZvsDk,hashmasks,9.05,2878108.152072513
17749206,6113,Enter The Void,https://lh3.googleusercontent.com/s7daRu344wMeHFIPjBpq6TMT4wujrIv8y5iFa-M2ZRcyRBwHax_LpFZPjCt92ysdkjpS_yuj5lpSC8P0N5_X-umAjtUrzKYKMaqP,hashmasks,2.99,179121.27849005777
17729407,3000,Hashmasks #3000,https://lh3.googleusercontent.com/o2SHoc8M21VH9Y5ydeg6woydzix0k1PXdOCE3JgYT1tfCvvOhOapnbU3oJg8Tyr87AAXKlZXM-gUCjDH0yakGOCs_3o2zcuBxCIgM_0,hashmasks,7.4,1095919.5387645022
17749207,6114,New York Stock Exchange,https://lh3.googleusercontent.com/KosrNYce-wo63ghCdgxyOVKp5pae0A8WhXz6BUXskNA6NgEvOZBv2rqtCh939rk1ckJ6LVUE2roZjnECHlx7uwA5Dk9zBv4h9fr_SQ,hashmasks,2.39,114394.47693236753
17729408,3001,Hashmasks #3001,https://lh3.googleusercontent.com/ybGtTNmLW4W1D9S2AkTWh_6f4VsW__jarwoFqAxdd8fqiFFKEIXvxaAEUbx5Mva7SWCx6_N5BJ2DVmkXFjrebEhnHgW5UREVQey9VzY,hashmasks,1.7,72325.32405120501
17730608,3082,What are those,https://lh3.googleusercontent.com/rRDSUWdJk1Z3-Jq7I0M35eIX9SRwly-uQQQq6OPg_Azld_jRy_0loRNZqZSqtNnptmL23OV6jI28xAE_PNyKkVh42XNeNRH9yRzQXgk,hashmasks,1.888,71423.57336476403
17749089,6025,Hashmasks #6025,https://lh3.googleusercontent.com/LiVdMIrl5GCiIOChrlAubqk6RyQsWUIuX_Ejw_jMbrY4qSAurNMsbwg1ETEoXiGhrGqRk1iU28EZAQ-OsHBP9WVOwrJGnqhH7zlBXw,hashmasks,1.885,124457.9221684713
