id,token_id,nft_name,image_url,slug,last_sale_total_price,rarity
34980960,5203,#5203,https://lh3.googleusercontent.com/1F4iPo2b6hbwY6CsWxp38XeUfPdcVB6uyn22Doy9r7Z95JDZkVDC3uvghzeJTZ0AkMWOtVyZ6hwX4RVGEM8SYwSrMGrWHyIHRdAG,lazy-lions,1.55,134.63448391323013
34980360,5111,#5111,https://lh3.googleusercontent.com/RHVyWaN9o_L3e7bI6OsaIe6X7CjZQC9vVKXXD3Lgv8m828o7UVQ3ZJUqOOfb9Axq_69kpHZFqmDGFxscXOv4jmT8G6Mx4PjFRonhMw,lazy-lions,2.0,151.0727426285177
34982160,5368,#5368,https://lh3.googleusercontent.com/BtcxnawHF06UERrPS3YYhPsKKpaRAiImjD66Djv_IyrkNEIGThflhSTSgRGcrfmxJY5GxLsrdhoyT1bzKAU4qpoR1UKfM85utP0JZhc,lazy-lions,1.125,122.79671086663632
34948081,1018,#1018,https://lh3.googleusercontent.com/aJj2Gb0d-2I3Qe2MO56yoK7nEDjs7Qf9JttVptS8tYS8z1XC1eZ1A_Uaeu9C_0dqLextEKIvQHk-NPFRpSoqMg0_UYjOU8q8vun4Sg,lazy-lions,2.33,142.9399540326521
34950002,1829,#1829,https://lh3.googleusercontent.com/TNEyJJ99SAjipaq6UlBLdVmLUIjlagqfLsqMe9Ib6z2AjjFa6BlUThw46lNdjBG33vo_Pncq36XIUmwWBfFZ8QCRvOKONr8jW94lmMA,lazy-lions,3.0177,140.3909864148404
34979042,4885,#4885,https://lh3.googleusercontent.com/b4XQxsF3sKgCHl3br69QbsS82KMmvlVCTAw5E-IC4vtTBu24ohnq_t8-BuJm9jbOEMyvPthS1BG8Jk3OsZZDK3TfWFL2b2PuVJVn,lazy-lions,1.25,164.36709197283744
34953842,2446,#2446,https://lh3.googleusercontent.com/UZ_lSnTzc5hFwkfAOywMklPtUj1BNM0o4qgMBdLYKd9SQYsqfy1A5ORATCvDJRb857pttzWx6DWhitZt3mGCa9-xcdpUswHvdJzh2w,lazy-lions,1.25,120.16095045831638
34978923,4845,#4845,https://lh3.googleusercontent.com/ePPiQU734NPxgZ9LNhKwq0ZLakvc27swup6H-MbVBc91v-aVvvWxvhIwYAdiKXXlJJWeJeJ7vJtLqdjx2vNNYSFr2y2AHEEuEy-rFA,lazy-lions,0.9899,174.4217361328654
34947243,732,#732,https://lh3.googleusercontent.com/jxitIXKtdwwYQTOrbIM9c-1oxnKlW42jbZzj8zg7rKaQ13jsyg0Q0i0wEi6iopuWCWOR00SPQPkfE7zgcLVrpiSIXsHhTo8UTBMmVw,lazy-lions,1.65,183.91917258391288
34979404,4936,#4936,https://lh3.googleusercontent.com/4E_UQYREb_VzSDxNnXk-i1dQAVWiLpc5UDQBTmYnbmiuGlfErcl0nZBsH5F54nh-kIPZwZwmr05wyvNumoXP0vM-ESf7i9qhOGut,lazy-lions,2.54,136.2774403282065
