id,token_id,nft_name,image_url,slug,last_sale_total_price,rarity,predicted_price
2946000,145,Purple Rain,https://storage.opensea.io/files/5817643c343315c02bf9ce8c565be733.svg,zed-run,10.0,1010627.2078987496,2.316312585848958
3711840,3529,Priors Gate,https://storage.opensea.io/files/5817643c343315c02bf9ce8c565be733.svg,zed-run,0.25,631.6147790187824,2.1573408698507364
3686641,3406,Hsss Goes The Snake,https://storage.opensea.io/files/d3ccd74e3d96cdff2ac9fb1d5e7ad1e3.svg,zed-run,0.122,150.81398728718386,2.157265192563196
3249241,964,Perky Chicken,https://storage.opensea.io/files/26a2f82a09efa85b593eee22e8543224.svg,zed-run,0.9,8224.051589339679,2.158535907449481
3275042,1278,Royal Flush,https://storage.opensea.io/files/2298002e0dd1bfd5e1e0d551df075b5e.svg,zed-run,0.5,1276.5452451263789,2.1574423808905814
2942522,118,Boomba,https://storage.opensea.io/files/fede05df650958d901de47e5e9af6712.svg,zed-run,4.25,93356.90052118918,2.1719356838195045
3475203,2612,Dollar Bill,https://storage.opensea.io/files/304bdd2c1c59fbf5de9da3784a8ba82f.svg,zed-run,0.15,226.5837326926048,2.1572771186018143
3706444,3489,Casino Empress,https://storage.opensea.io/files/dc4c82c07b2274f9be96a63327a2774d.svg,zed-run,0.195,573.0687500789992,2.157331654797969
3011165,293,Curved Agony,https://storage.opensea.io/files/c431a593fca5b7905f17ec5da63acc99.svg,zed-run,3.3,109814.8849781704,2.174526144657969
3725525,3914,Oakfield Missile,https://storage.opensea.io/files/5817643c343315c02bf9ce8c565be733.svg,zed-run,0.04,16.156306354685587,2.157243997656252
3301446,1353,Lolly Chelsea,https://storage.opensea.io/files/b0b60f206b0490332acb325def9367b5.svg,zed-run,0.6,5454.145423824118,2.1580999285805773
3005167,277,Boiling Religion,https://storage.opensea.io/files/d4eff6e88286af4b50c16c8dc42fec53.svg,zed-run,1.0,10073.52031896301,2.1588270109153145
3012247,303,Blaring Vista,https://storage.opensea.io/files/c431a593fca5b7905f17ec5da63acc99.svg,zed-run,2.5,63025.07172760008,2.1671615017284847
3261487,1167,Limited Edition,https://storage.opensea.io/files/c4a7809ce83ef05a7ca29f62d9aa24b0.svg,zed-run,0.3,461.9604038182798,2.1573141665192206
3430448,2062,East Coast,https://storage.opensea.io/files/47a74af467177092c7110480d518909b.svg,zed-run,0.3,1361.2457891995346,2.1574557126228475
4057808,4266,Elusive In Paris,https://storage.opensea.io/files/18351e0d296d61a82630b09b48807b7e.svg,zed-run,50.0,25160310.05257606,6.117434639038013
3363849,1699,Mangelica,https://storage.opensea.io/files/d3ccd74e3d96cdff2ac9fb1d5e7ad1e3.svg,zed-run,0.4,1621.0209411601334,2.157496600822719
3237969,802,The Scent of Allure,https://storage.opensea.io/files/e77965981347017f8dc40b480bfafb99.svg,zed-run,2.75,76142.26278790183,2.1692261269467905
3255129,1055,Tirith Vigilance,https://storage.opensea.io/files/78ebf6a6e8ec4fbce75b0cbb08fa9782.svg,zed-run,0.77,5992.286573924741,2.158184631150236
3266529,1200,Transformed,https://storage.opensea.io/files/0ac5fd41c162b94055545bd0baf9a1ee.svg,zed-run,0.6,3650.3130650698977,2.1578160082076594
3135730,494,Dauntless,https://storage.opensea.io/files/be308d8d44d7e643bf6aa150db6584b6.svg,zed-run,3.35,226483.38309265848,2.1928895825526893
2852771,65,Ambassador,https://storage.opensea.io/files/ec30945f751456d12537383e6a3ed254.svg,zed-run,1.0,10143.309116024531,2.158837995562081
14000891,4928,Elusive,https://storage.opensea.io/files/30cd266972ab77f9bc21ffa955025685.svg,zed-run,0.3,1363.8960222919725,2.157456129765363
14878571,5418,Banana Boat,https://storage.opensea.io/files/5a96796256f6a51599b6d94735cd30ef.svg,zed-run,0.03,9.171307250764665,2.1572428982283918
3249252,968,Double Spend,https://storage.opensea.io/files/d2ed77286eea1408cc75b9f32928ddb3.svg,zed-run,2.5,63397.01489024796,2.1672200449966166
3096853,453,Can't See The Finish Line,https://storage.opensea.io/files/d1c2b3ad1d65ca3aeebb1fc60496391f.svg,zed-run,2.25,51472.12402149582,2.1653430859510414
3011173,294,Owner Mode,https://storage.opensea.io/files/02b9d3723c4c24ecc3e94adbde00f9d2.svg,zed-run,1.4,19779.07227516948,2.160354649510669
3301454,1354,Muse Hacker,https://storage.opensea.io/files/c4a7809ce83ef05a7ca29f62d9aa24b0.svg,zed-run,0.3,911.9763401037504,2.1573849983189883
2993414,229,Ruckus,https://storage.opensea.io/files/cc9a62a788d3d77e12390e3bbba95525.svg,zed-run,12.95,857546.5355124892,2.292217929059183
3235695,709,Skull Crusher,https://storage.opensea.io/files/d1c2b3ad1d65ca3aeebb1fc60496391f.svg,zed-run,1.6,26022.019304152684,2.1613372795427646
3394936,1776,Win Doctor,https://storage.opensea.io/files/e4d2a8254de9bbbd26c201d9b9c429a6.svg,zed-run,0.2,402.77865795285686,2.1573048514056103
3301457,1355,Tequila Mockingbird,https://storage.opensea.io/files/615b6d23091ced6fa787c06f12b44862.svg,zed-run,0.36,1312.9029419872722,2.1574481035348176
2930657,108,PS: I Don't Love You,https://storage.opensea.io/files/11bf7aba126589925d3af401008770bf.svg,zed-run,2.5,63496.19135364418,2.16723565521579
3081497,426,Bam Bam Boogie,https://storage.opensea.io/files/a2f4d9bd8829dad233d734bc572c8003.svg,zed-run,2.2,49133.03788584937,2.1649749174764614
3235938,769,Children Of Gambino,https://storage.opensea.io/files/0ac5fd41c162b94055545bd0baf9a1ee.svg,zed-run,1.25,15836.649160755573,2.159734118320277
3276499,1291,Tiny Potatoes,https://storage.opensea.io/files/78fa813d1d89c19ccd6aaaf9151c25e4.svg,zed-run,0.75,2863.6629527295763,2.1576921907186515
3005420,289,What Did Bongo Say,https://storage.opensea.io/files/169d85e5d6cd4440c191a80a1a5e217b.svg,zed-run,6.0,722977.309995065,2.271036944858076
3235940,771,Maverick Ray,https://storage.opensea.io/files/8106a22449df605fbabc06589b90d202.svg,zed-run,0.99,14817.591531825245,2.1595737202541114
3688460,3415,Wheeler Fortune,https://storage.opensea.io/files/d42e64e37e0df52e4430374b219f13f9.svg,zed-run,0.2,405.8801786187459,2.157305339580079
3243501,843,Omen,https://storage.opensea.io/files/744eda00657e99e833effe2a21217a08.svg,zed-run,1.6,25895.469426754684,2.16131736079133
3598221,2813,Calbanesco,https://storage.opensea.io/files/5d3aae1c11680d650910077576e881c7.svg,zed-run,0.15,339.4047665406935,2.1572948764548916
3724341,3854,Background Scalper,https://storage.opensea.io/files/dc4c82c07b2274f9be96a63327a2774d.svg,zed-run,0.33,1096.963023708032,2.157414114931704
2805261,29,Satoshi,https://storage.opensea.io/files/18351e0d296d61a82630b09b48807b7e.svg,zed-run,40.0,8115773.835973926,3.4346514772050813
3301461,1357,Doctor Pin Action,https://storage.opensea.io/files/7bfda0d4c09db6322f71e9c6155877ec.svg,zed-run,0.2,203.0685440191107,2.1572734173481445
3124342,476,Immortal Runner,https://storage.opensea.io/files/571a21ca35af66dc55e747d2157b7c5e.svg,zed-run,2.39,86387.95156955557,2.170838782227961
3724222,3851,Wicklow Brave,https://storage.opensea.io/files/e92991211506f3e3bf438e458e63f989.svg,zed-run,0.075,56.64079398755336,2.157250369850858
3003023,267,Fake It Till You Make It,https://storage.opensea.io/files/e92991211506f3e3bf438e458e63f989.svg,zed-run,2.5,63020.115081729295,2.1671607215602293
3114984,468,Whisper Land,https://storage.opensea.io/files/e91da940f3c4312a05ab3b5b0b85ae85.svg,zed-run,2.5,63370.95561578468,2.1672159433078493
3041545,362,Third Head,https://storage.opensea.io/files/24a5a425ea4fd608b9b89054bc82a562.svg,zed-run,5.5,457194.6403813296,2.229203171167466
3396986,1804,Marquee Club,https://storage.opensea.io/files/d42e64e37e0df52e4430374b219f13f9.svg,zed-run,0.5,2534.4481601982625,2.1576403728286953
3183626,550,Golden Laurëa,https://storage.opensea.io/files/640569dc9717f3179ea92c6a9a4fc754.svg,zed-run,1.1,12199.977712236068,2.159161711960654
3242907,819,Noisy Stirring,https://storage.opensea.io/files/dc4c82c07b2274f9be96a63327a2774d.svg,zed-run,0.99,14766.101129723813,2.1595656157458984
3712707,3620,Light Well,https://storage.opensea.io/files/8106a22449df605fbabc06589b90d202.svg,zed-run,0.12,145.73767629136293,2.1572643935598386
3243028,831,Hooray,https://storage.opensea.io/files/11bf7aba126589925d3af401008770bf.svg,zed-run,0.5,2533.863865720892,2.1576402808616644
15491308,6021,Serendiptous,https://storage.opensea.io/files/be308d8d44d7e643bf6aa150db6584b6.svg,zed-run,0.1,151.6021186914946,2.157265316613838
3410668,1963,Snippety Sip,https://storage.opensea.io/files/e91da940f3c4312a05ab3b5b0b85ae85.svg,zed-run,0.185,346.33234677864306,2.157295966845113
