,slug,NFTcount
0,cryptokitties,200
1,cryptopunks,198
2,decentraland,199
3,boredapeyachtclub,198
4,mutant-ape-yacht-club,192
5,meebits,197
6,galacticapes,0
7,cool-cats-nft,196
8,sorare,199
9,parallelalpha,187
10,cryptoadz-by-gremplin,199
11,0n1-force,199
12,mekaverse,199
13,pudgypenguins,198
14,zed-run,198
15,fidenza-by-tyler-hobbs,199
16,hashmasks,198
17,bored-ape-kennel-club,199
18,cyberkongz,0
19,veefriends,195
20,creatureworld,197
21,axie,199
22,doodles-official,199
23,lostpoets,195
24,world-of-women-nft,198
25,the-doge-pound,199
26,ringers-by-dmitri-cherniak,199
27,sneaky-vampire-syndicate,196
28,lazy-lions,198
